snapshot_date,location_id,product_id,on_hand_qty,reserved_qty,available_qty,source_updated_at
2026-09-01,WH_WEST,P001,54,2,52,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P001,35,2,33,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P002,42,2,40,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P002,27,2,25,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P003,61,2,59,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P003,48,2,46,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P004,33,2,31,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P004,26,2,24,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P005,29,2,27,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P005,31,2,29,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P006,50,2,48,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P006,44,2,42,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P007,24,2,22,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P007,19,1,18,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P008,12,1,11,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P008,18,1,17,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P009,21,2,19,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P009,17,1,16,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P010,78,2,76,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P010,65,2,63,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P011,36,2,34,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P011,32,2,30,2026-09-01T23:55:00Z
2026-09-01,WH_WEST,P012,57,2,55,2026-09-01T23:55:00Z
2026-09-01,WH_EAST,P012,41,2,39,2026-09-01T23:55:00Z
