order_id,customer_id,order_ts,status,currency,subtotal,discount,tax,shipping,total,updated_at,source_system
O1001,C001,2026-09-01T15:10:00Z,PAID,USD,80.00,0.00,6.40,0.00,86.40,2026-09-01T15:12:00Z,WEB_US
O1002,C004,2026-09-01T15:42:00Z,PAID,USD,148.00,10.00,11.04,0.00,149.04,2026-09-01T15:44:00Z,WEB_US
O1003,C007,2026-09-01T16:03:00Z,PAID,USD,78.00,0.00,6.24,5.00,89.24,2026-09-01T16:05:00Z,WEB_US
O1004,C010,2026-09-01T16:25:00Z,PAID,USD,124.00,12.40,8.93,0.00,120.53,2026-09-01T16:28:00Z,WEB_US
O1005,C003,2026-09-01T17:02:00Z,PAID,USD,128.00,0.00,10.24,0.00,138.24,2026-09-01T17:04:00Z,WEB_US
O1006,C011,2026-09-01T17:55:00Z,PAID,USD,106.00,0.00,8.48,0.00,114.48,2026-09-01T17:56:00Z,WEB_US
O1007,C006,2026-09-01T18:20:00Z,PAID,USD,88.00,0.00,7.04,0.00,95.04,2026-09-01T18:23:00Z,WEB_US
O1008,C014,2026-09-01T18:55:00Z,PAID,USD,96.00,0.00,7.68,0.00,103.68,2026-09-01T18:56:00Z,WEB_US
O1009,C002,2026-09-01T19:10:00Z,PAID,USD,60.00,0.00,4.80,5.00,69.80,2026-09-01T19:12:00Z,WEB_US
O1010,C009,2026-09-01T20:01:00Z,PAID,USD,114.00,0.00,9.12,0.00,123.12,2026-09-01T20:03:00Z,WEB_US
O1011,C012,2026-09-01T20:20:00Z,PAID,USD,70.00,0.00,5.60,5.00,80.60,2026-09-01T20:22:00Z,WEB_US
O1012,C005,2026-09-01T20:45:00Z,PAID,USD,128.00,20.00,8.64,0.00,116.64,2026-09-01T20:46:00Z,WEB_US
