line_id,order_id,product_id,quantity,unit_price,line_discount,line_total,updated_at
L1018,O1011,P004,1,70.00,5.00,65.00,2026-09-02T14:30:00Z
L1020,O1013,P007,1,88.00,0.00,88.00,2026-09-02T15:07:00Z
L1021,O1013,P012,1,28.00,0.00,28.00,2026-09-02T15:07:00Z
L1022,O1014,P003,1,32.00,0.00,32.00,2026-09-02T15:20:00Z
L1023,O1014,P010,1,18.00,0.00,18.00,2026-09-02T15:20:00Z
L1024,O1015,P004,1,74.00,7.40,66.60,2026-09-02T16:04:00Z
L1025,O1015,P007,1,88.00,8.80,79.20,2026-09-02T16:04:00Z
L1026,O1016,P013,1,64.00,0.00,64.00,2026-09-02T16:56:00Z
L1027,O1017,P009,1,96.00,0.00,96.00,2026-09-02T17:42:00Z
L1028,O1018,P002,1,42.00,0.00,42.00,2026-09-02T18:04:00Z
L1029,O1018,P003,1,32.00,0.00,32.00,2026-09-02T18:04:00Z
L1030,O1018,P012,1,28.00,0.00,28.00,2026-09-02T18:04:00Z
L1031,O1019,P004,1,74.00,0.00,74.00,2026-09-02T19:14:00Z
L1032,O1020,P005,1,78.00,10.00,68.00,2026-09-02T20:09:00Z
L1033,O1020,P007,1,88.00,10.00,78.00,2026-09-02T20:09:00Z
L1033,O1020,P007,1,88.00,10.00,78.00,2026-09-02T20:09:00Z
